Pcia,Comuna,Total de viviendas particulares,Total de viviendas colectivas,Total de población,Población en viviendas particulares,Población en viviendas colectivas (1),Población en situación de calle (vía pública)
Buenos Aires,Las Flores,12.032,13,26.651,26.551,100,
Buenos Aires,Leandro N. Alem,7.483,13,17.587,17.475,112,
Buenos Aires,Lezama,3.054,9,6.231,6.180,51,
Buenos Aires,Lincoln,20.111,36,44.974,44.654,320,
Buenos Aires,Lobería,8.130,29,18.234,18.079,155,
Buenos Aires,Lobos,18.811,38,41.717,41.373,344,
Buenos Aires,Luján,41.264,84,111.365,109.540,1.825,
Buenos Aires,Magdalena,9.120,15,26.734,22.767,3.967,
Buenos Aires,Maipú,4.847,15,11.517,11.438,79,
Buenos Aires,Mar Chiquita,21.667,68,33.284,33.127,157,
Buenos Aires,Marcos Paz,22.646,6,67.154,64.821,2.333,
Buenos Aires,Mercedes,30.326,51,73.477,71.523,1.954,
Buenos Aires,Monte,10.625,43,24.481,24.197,284,
Buenos Aires,Monte Hermoso,12.008,27,8.821,8.787,34,
Buenos Aires,Navarro,8.541,6,20.383,20.339,44,
Buenos Aires,Necochea,49.557,136,104.977,104.176,801,
Buenos Aires,9 de Julio,23.606,24,52.941,52.704,237,
Buenos Aires,Olavarría,51.896,93,126.328,122.446,3.882,
Buenos Aires,Patagones,17.339,47,37.811,37.633,178,
Buenos Aires,Pehuajó,19.902,27,42.561,42.355,206,
Buenos Aires,Pellegrini,3.152,6,6.948,6.917,31,
Buenos Aires,Pergamino,47.846,49,114.052,113.718,334,
Buenos Aires,Pila,2.175,3,4.609,4.582,27,
Buenos Aires,Pilar,137.425,46,395.072,393.653,1.419,
Buenos Aires,Pinamar,32.076,330,40.259,39.988,271,
Buenos Aires,Presidente Perón,32.163,8,102.128,102.017,111,
Buenos Aires,Puán,8.792,17,16.427,16.150,277,
Buenos Aires,Punta Indio,6.760,19,12.419,12.269,150,
Buenos Aires,Ramallo,14.765,31,39.116,39.035,81,
Buenos Aires,Rauch,8.154,14,17.234,17.088,146,
Buenos Aires,Rivadavia,8.285,19,19.844,19.730,114,
Buenos Aires,Rojas,11.702,1,25.290,25.289,1,
Buenos Aires,Roque Pérez,6.050,7,14.032,13.958,74,
Buenos Aires,Saavedra,10.602,37,22.846,21.615,1.231,
Buenos Aires,Saladillo,16.186,27,35.669,35.566,103,
Buenos Aires,Salliqueló,4.455,13,9.941,9.858,83,
Buenos Aires,Salto,15.762,12,40.157,39.989,168,
Buenos Aires,San Andrés de Giles,11.035,9,26.474,26.365,109,
Buenos Aires,San Antonio de Areco,10.554,29,26.671,26.466,205,
Buenos Aires,San Cayetano,4.684,11,9.611,9.535,76,
Buenos Aires,San Nicolás,60.145,59,165.375,163.835,1.540,
Buenos Aires,San Pedro,25.900,96,69.616,69.288,328,
Buenos Aires,San Vicente,35.793,6,98.977,98.606,371,
Buenos Aires,Suipacha,4.928,10,11.867,11.823,44,
Buenos Aires,Tandil,64.652,217,150.162,149.167,995,
Buenos Aires,Tapalqué,4.727,7,10.901,10.813,88,
Buenos Aires,Tordillo,1.091,3,2.672,2.644,28,
Buenos Aires,Tornquist,7.893,155,14.669,14.413,256,
Buenos Aires,Trenque Lauquen,21.936,49,48.423,47.924,499,
Buenos Aires,Tres Arroyos,33.678,71,62.835,62.371,464,
Buenos Aires,Tres Lomas,4.251,10,8.825,8.751,74,
Buenos Aires,25 de Mayo,16.272,32,36.676,36.436,240,
Buenos Aires,Villa Gesell,31.057,243,38.614,38.539,75,
Buenos Aires,Villarino,13.434,48,33.170,32.979,191,
Buenos Aires,Zárate,49.539,22,132.087,131.343,744,
Catamarca,Ambato,3.998,18,5.027,4.991,36,
Catamarca,Ancasti,1.517,6,3.294,3.271,23,
Catamarca,Andalgalá,7.830,42,19.364,19.226,138,
Catamarca,Antofagasta de la Sierra,976,42,2.008,1.777,231,
Catamarca,Belén,11.603,42,30.736,30.504,232,
Catamarca,Capayán,7.528,18,19.740,19.327,413,
Catamarca,Capital,63.857,68,188.489,187.931,556,2
Catamarca,El Alto,2.157,4,4.251,4.251,,
Catamarca,Fray Mamerto Esquiú,4.844,7,14.565,14.564,1,
Catamarca,La Paz,9.855,23,25.796,25.775,21,
Catamarca,Paclín,2.670,20,4.764,4.735,29,
Catamarca,Pomán,4.762,26,11.845,11.804,41,
Catamarca,Santa María,10.561,36,27.186,26.997,189,
Catamarca,Santa Rosa,4.704,15,13.383,13.378,5,
Catamarca,Tinogasta,10.353,65,25.198,25.054,144,
