Pcia,Comuna,Total de viviendas particulares,Total de viviendas colectivas,Total de población,Población en viviendas particulares,Población en viviendas colectivas (1),Población en situación de calle (vía pública)
San Luis,Belgrano,2.905,1,5.412,5.404,8,
San Luis,Chacabuco,10.411,29,25.432,25.397,35,
San Luis,Coronel Pringles,7.824,26,16.024,16.023,1,
San Luis,General Pedernera,54.052,56,150.038,149.829,209,
San Luis,Gobernador Dupuy,5.546,12,14.202,14.193,9,
San Luis,Juan Martín de Pueyrredón,91.206,91,260.295,259.913,378,4
San Luis,Junín,17.722,59,40.930,40.802,128,
San Luis,Libertador General San Martín,2.190,1,4.617,4.617,,
Santa Cruz,Corpen Aike,6.029,21,15.027,14.857,170,
Santa Cruz,Deseado,46.937,78,126.179,125.569,610,
Santa Cruz,Güer Aike,54.085,65,135.511,134.931,580,
Santa Cruz,Lago Argentino,10.908,231,25.403,25.172,231,
Santa Cruz,Lago Buenos Aires,5.354,40,12.618,12.586,32,
Santa Cruz,Magallanes,5.566,28,12.752,12.651,101,
Santa Cruz,Río Chico,2.516,23,5.983,5.941,42,
Santa Fe,Belgrano,22.698,38,48.955,48.693,262,
Santa Fe,Caseros,38.937,73,88.276,87.471,805,
Santa Fe,Castellanos,76.515,105,193.675,192.517,1.158,
Santa Fe,Constitución,36.835,44,94.068,93.597,471,
Santa Fe,Garay,10.027,20,24.931,24.853,78,
Santa Fe,General López,88.829,143,205.389,204.128,1.261,
Santa Fe,General Obligado,69.506,101,198.212,197.544,668,
Santa Fe,Iriondo,32.304,82,74.924,74.132,792,
Santa Fe,La Capital,225.917,246,573.448,570.666,2.716,66
Santa Fe,Las Colonias,48.918,93,117.080,116.020,1.060,
Santa Fe,9 de Julio,12.264,20,31.435,31.371,64,
Santa Fe,Rosario,571.423,599,1.342.619,1.334.493,7.983,143
Santa Fe,San Cristóbal,29.727,27,72.716,72.574,142,
Santa Fe,San Javier,12.576,28,34.030,33.936,94,
Santa Fe,San Jerónimo,36.482,102,84.920,84.189,731,
Santa Fe,San Justo,19.143,33,47.240,47.061,179,
Santa Fe,San Lorenzo,77.036,64,197.327,196.568,759,
Santa Fe,San Martín,28.034,67,70.029,69.426,603,
Santa Fe,Vera,21.481,43,57.248,56.553,695,
Santiago del Estero,Aguirre,3.954,2,8.808,8.797,11,
Santiago del Estero,Alberdi,6.799,,19.954,19.954,,
Santiago del Estero,Atamisqui,4.987,2,14.692,14.683,9,
Santiago del Estero,Avellaneda,8.268,,25.025,25.025,,
Santiago del Estero,Banda,51.994,16,169.862,169.550,285,27
Santiago del Estero,Belgrano,3.805,8,10.662,10.651,11,
Santiago del Estero,Capital,110.238,93,329.084,327.142,1.919,23
Santiago del Estero,Choya,15.599,10,43.653,43.590,63,
Santiago del Estero,Copo,12.793,5,35.669,35.581,88,
Santiago del Estero,Figueroa,6.127,3,20.063,20.049,14,
Santiago del Estero,General Taboada,14.207,15,45.752,45.540,212,
Santiago del Estero,Guasayán,3.557,2,8.775,8.772,3,
Santiago del Estero,Jiménez,6.503,5,18.567,18.564,3,
Santiago del Estero,Juan Felipe Ibarra,6.253,11,20.459,20.437,22,
Santiago del Estero,Loreto,7.278,8,23.966,23.926,40,
Santiago del Estero,Mitre,659,,1.437,1.437,,
Santiago del Estero,Moreno,11.621,16,40.023,39.914,109,
Santiago del Estero,Ojo de Agua,6.087,,14.976,14.976,,
Santiago del Estero,Pellegrini,9.649,4,26.653,26.652,1,
Santiago del Estero,Quebrachos,4.277,2,11.339,11.322,17,
Santiago del Estero,Río Hondo,22.027,124,66.836,66.690,146,
Santiago del Estero,Rivadavia,2.185,2,5.287,5.286,1,
Santiago del Estero,Robles,16.900,20,53.221,53.100,121,
Santiago del Estero,Salavina,4.485,,12.744,12.732,12,
Santiago del Estero,San Martín,3.661,4,11.626,10.957,669,
Santiago del Estero,Sarmiento,1.660,1,5.049,5.045,4,
Santiago del Estero,Silípica,3.132,,9.846,9.846,,
Tierra del Fuego,Antártida Argentina e Islas del Atlántico Sur,,1,130,0,130,
Tierra del Fuego,Antártida Argentina,,1,130,0,130,
Tierra del Fuego,Islas del Atlántico Sur,,,0,0,,
Tierra del Fuego,Río Grande,33.879,4,98.017,97.727,290,
Tierra del Fuego,Tolhuin,2.840,12,9.879,9.858,21,
Tierra del Fuego,Ushuaia,30.372,120,82.615,82.200,415,
Tucumán,Burruyacú,13.907,2,43.727,43.727,,
Tucumán,Capital,202.640,109,584.798,583.255,1.486,57
Tucumán,Chicligasta,26.938,7,92.085,91.988,97,
Tucumán,Cruz Alta,63.321,10,226.150,225.935,215,
Tucumán,Famaillá,11.832,6,41.816,41.806,10,
Tucumán,Graneros,5.288,,14.866,14.866,,
Tucumán,Juan Bautista Alberdi,11.074,6,34.189,34.189,,
Tucumán,La Cocha,6.579,,21.000,21.000,,
Tucumán,Leales,20.390,4,64.732,64.700,32,
Tucumán,Lules,27.567,3,89.622,89.606,16,
Tucumán,Monteros,23.936,4,77.198,77.142,56,
Tucumán,Río Chico,19.900,3,64.146,64.137,9,
Tucumán,Simoca,11.832,5,35.051,35.048,3,
Tucumán,Tafí del Valle,15.299,153,20.091,20.002,89,
Tucumán,Tafí Viejo,53.517,11,169.363,169.227,136,
Tucumán,Trancas,10.879,50,22.478,22.455,23,
Tucumán,Yerba Buena,30.520,9,101.874,101.705,169,
